1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinSF1,BsmtFinSF2,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_ALQ,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,BsmtFullBath,BsmtHalfBath,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtUnfSF,CentralAir_N,CentralAir_Y,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,EnclosedPorch,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_Po,FireplaceQu_TA,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,FullBath,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageArea,GarageCars,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_Po,GarageCond_TA,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageQual_Ex,GarageQual_Fa,GarageQual_Gd,GarageQual_Po,GarageQual_TA,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageYrBlt,GrLivArea,HalfBath,HeatingQC_Ex,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,KitchenAbvGr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotArea,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LotFrontage,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LowQualFinSF,MSSubClass,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrArea,MiscVal,MoSold,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,OpenPorchSF,OverallCond,OverallQual,PavedDrive_N,PavedDrive_P,PavedDrive_Y,PoolArea,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,ScreenPorch,Street_Grvl,Street_Pave,TotRmsAbvGrd,TotalBsmtSF,Utilities_AllPub,Utilities_NoSeWa,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
856,854,0,3,True,False,False,False,False,False,False,False,True,False,False,False,True,706,0,False,False,True,False,False,False,False,False,False,False,False,True,1,0,False,False,True,False,150,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,False,False,True,False,False,False,2,False,False,False,False,False,False,True,548,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2003.0,1710,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,False,False,True,False,False,False,False,True,True,False,False,8450,False,False,False,False,True,65.0,False,False,False,True,0,60,False,False,False,True,False,196.0,0,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,61,5,7,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,208500,False,False,False,False,False,False,False,False,True,0,False,True,8,856,True,False,0,2003,2003,2008
1262,0,0,3,True,False,False,False,False,False,False,False,True,False,True,False,False,978,0,True,False,False,False,False,False,False,False,False,False,False,True,0,1,False,False,True,False,284,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,False,True,False,False,False,False,2,False,False,False,False,False,False,True,460,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1976.0,1262,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,False,False,False,True,False,False,False,True,True,False,False,9600,False,False,True,False,False,80.0,False,False,False,True,0,20,False,False,False,True,False,0.0,0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,8,6,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,181500,False,False,False,False,False,False,False,False,True,0,False,True,6,1262,True,False,298,1976,1976,2007
920,866,0,3,True,False,False,False,False,False,False,False,True,False,False,True,False,486,0,False,False,True,False,False,False,False,False,False,False,False,True,1,0,False,False,True,False,434,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,False,False,True,False,False,False,2,False,False,False,False,False,False,True,608,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2001.0,1786,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,False,False,True,False,False,False,False,True,True,False,False,11250,False,False,False,False,True,68.0,True,False,False,False,0,60,False,False,False,True,False,162.0,0,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,42,5,7,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,223500,False,False,False,False,False,False,False,False,True,0,False,True,6,920,True,False,0,2001,2002,2008
961,756,0,3,True,False,False,False,False,False,True,False,False,False,False,False,True,216,0,True,False,False,False,False,False,False,False,False,False,False,True,1,0,False,False,False,True,540,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,272,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1,True,False,False,False,False,False,1,False,False,False,False,False,False,True,642,3,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,1998.0,1717,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,False,False,True,False,False,False,False,True,True,False,False,9550,True,False,False,False,False,60.0,True,False,False,False,0,70,False,False,False,True,False,0.0,0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35,5,7,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,140000,False,False,False,False,False,False,False,False,True,0,False,True,7,756,True,False,0,1915,1970,2006
1145,1053,0,4,True,False,False,False,False,False,False,False,True,True,False,False,False,655,0,False,False,True,False,False,False,False,False,False,False,False,True,1,0,False,False,True,False,490,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,False,False,True,False,False,False,2,False,False,False,False,False,False,True,836,3,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2000.0,2198,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,False,False,True,False,False,False,False,True,True,False,False,14260,False,False,True,False,False,84.0,True,False,False,False,0,60,False,False,False,True,False,350.0,0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,84,5,8,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,250000,False,False,False,False,False,False,False,False,True,0,False,True,9,1145,True,False,192,2000,2000,2008
796,566,320,1,True,False,False,False,False,False,False,False,True,False,False,False,True,732,0,False,False,True,False,False,False,False,False,False,False,False,True,1,0,False,False,True,False,64,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,False,False,False,False,False,True,1,False,False,False,False,False,False,True,480,2,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,1993.0,1362,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,False,False,False,True,False,False,False,True,True,False,False,14115,False,False,False,False,True,85.0,True,False,False,False,0,50,False,False,False,True,False,0.0,700,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,30,5,5,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,143000,False,False,False,False,False,False,False,False,True,0,False,True,5,796,True,False,40,1993,1995,2009
1694,0,0,3,True,False,False,False,False,False,False,False,True,True,False,False,False,1369,0,False,False,True,False,False,False,False,False,False,False,False,True,1,0,True,False,False,False,317,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1,False,False,True,False,False,False,2,False,False,False,False,False,False,True,636,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2004.0,1694,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,False,False,True,False,False,False,False,True,True,False,False,10084,False,False,False,False,True,75.0,False,False,False,True,0,20,False,False,False,True,False,186.0,0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,57,5,8,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,307000,False,False,False,False,False,False,False,False,True,0,False,True,7,1686,True,False,255,2004,2005,2007
1107,983,0,3,True,False,False,False,False,False,False,False,True,False,False,True,False,859,32,True,False,False,False,False,False,False,True,False,False,False,False,1,0,False,False,True,False,216,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,228,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,False,False,False,2,False,False,False,False,False,False,True,484,2,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1973.0,2090,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,False,False,False,True,False,False,False,True,True,False,False,10382,True,False,False,False,False,69.0,True,False,False,False,0,60,False,False,False,True,False,240.0,350,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,204,6,7,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,200000,False,False,False,False,False,False,False,False,True,0,False,True,7,1107,True,False,235,1973,1973,2009
1022,752,0,2,True,False,False,False,False,False,False,False,True,False,False,False,True,0,0,False,False,False,False,False,True,False,False,False,False,False,True,0,0,False,False,False,True,952,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,205,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2,True,False,False,False,False,False,2,False,False,True,False,False,False,False,468,2,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,1931.0,1774,0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2,False,False,False,True,False,False,False,True,True,False,False,6120,False,False,False,False,True,51.0,False,False,False,True,0,50,False,False,False,False,True,0.0,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,5,7,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,129900,False,False,False,False,False,False,False,False,True,0,False,True,8,952,True,False,90,1931,1950,2008
1077,0,0,2,False,True,False,False,False,False,False,False,True,False,False,False,True,851,0,False,False,True,False,False,False,False,False,False,False,False,True,1,0,False,False,False,True,140,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2,True,False,False,False,False,False,1,False,False,False,False,False,False,True,205,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1939.0,1077,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,False,False,True,True,False,False,7420,True,False,False,False,False,50.0,False,False,False,True,0,190,False,False,False,True,False,0.0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,6,5,False,False,True,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,118000,False,False,False,False,False,False,False,False,True,0,False,True,5,991,True,False,0,1939,1950,2008
